crisno,year,crisname,ccode1,actor1,ccode2,actor2,history,crisis,victory1,prevail1,victory2,prevail2,a1outcome,a2outcome,ssbn_count_2024_1,ssbn_count_2024_2,ssbn_start_1,ssbn_start_2,hydrogen_start_1,hydrogen_start_2,sss_start_1,sss_start_2,coder,kinetic,a1democracy,a2democracy,complexity,salience,independence,a2awareness,a1awareness,a2threat,a1threat,a1intensity,a2intensity
242,1971,Bangladesh Liberation War,750,IND,770,PAK,2,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,2,0,0,0,0,0,0,0,yan,1,1,0,0,5,0,1,1,CONVENTIONAL,CONVENTIONAL,4,4
242,1971,Bangladesh Liberation War,750,IND,2,USA,2,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,2,14,0,1,0,1,0,1,yan,0,1,1,0,1,0,1,1,,,,
242,1971,Bangladesh Liberation War,365,RUS,2,USA,2,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,11,14,1,1,1,1,1,1,yan,0,0,1,0,1,0,1,1,,,,
242,1971,Bangladesh Liberation War,365,RUS,770,PAK,2,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,11,0,1,0,1,0,1,0,yan,0,0,0,0,1,0,1,1,,,,
243,1971,CHAD/LIBYA I,483,CHA,620,IBY,0,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSE,0,0,0,0,0,0,0,0,icb,0,0,0,0,1,1,1,1,OTHER,OTHER,1,1
243,1971,Chad/Libya I,620,LIB,483,CHA,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,0,1,1,1,1,OTHER,OTHER,1,1
243,1971,Chad/Libya I,620,LIB,483,CHA,2,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,aiden,0,0,0,0,1,1,1,1,OTHER,,1,1
243,1971,Chad/Libya I,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,1971,CAPRIVI STRIP,551,ZAM,560,SAF,0,1,FALSE,FALSE,,,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,icb,0,0,0,,,,,,,,,
245,1971,TANZANIA/UGANDA I,500,UGA,510,TAZ,0,1,FALSE,FALSE,FALSE,FALSE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,icb,0,0,0,0,2,0,1,1,CONVENTIONAL,CONVENTIONAL,4,4
245,1971,Tanzania/Uganda I,510,TAZ,500,UGA,1,1,TRUE,TRUE,FALSE,TRUE,WIN,NEUTRAL,0,0,0,0,0,0,0,0,aiden,0,0,0,1,1,0,1,1,,,0,0
245,1971,Tanzania/Uganda I,510,TAZ,770,PAK,1,1,TRUE,TRUE,FALSE,TRUE,WIN,NEUTRAL,0,0,0,0,0,0,0,0,aiden,0,0,0,1,1,0,1,1,,,0,0
245,1971,Tanzania/Uganda I,510,TAZ,500,UGA,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,aiden,1,0,0,0,3,0,1,1,CONVENTIONAL,,2,4
245,1971,Tanzania/Uganda I,510,TAZ,620,LIB,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,aiden,1,0,0,0,2,0,1,1,CONVENTIONAL,,2,2
245,1971,Tanzania / Uganda I,530,ETH,500,UGA,2,1,TRUE,TRUE,FALSE,TRUE,WIN,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
245,1971,Tanzania / Uganda I,510,TAZ,620,LIB,2,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,yan,1,0,0,0,2,0,1,1,CONVENTIONAL,CONVENTIONAL,2,2
245,1971,Tanzania / Uganda I,510,TAZ,500,UGA,2,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,yan,1,0,0,0,3,0,1,1,CONVENTIONAL,CONVENTIONAL,4,4
245,1971,Tanzania / Uganda I,510,TAZ,770,PAK,2,1,TRUE,TRUE,FALSE,TRUE,WIN,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,0,1,1,,,,
246,1972,VIETNAM-PORTS MINING,732,KOS,816,VTN,0,1,,,FALSE,FALSE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,icb,1,0,0,0,4,0,1,,CONVENTIONAL,,,
246,1972,VIETNAM-PORTS MINING,800,THI,816,VTN,0,1,,,FALSE,FALSE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,icb,1,0,0,0,4,0,1,,CONVENTIONAL,,,
246,1972,VIETNAM-PORTS MINING,2,USA,816,VTN,0,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,NEUTRAL,14,0,1,0,1,0,1,0,icb,1,1,0,0,4,0,1,1,CONVENTIONAL,,3,4
246,1972,VIETNAM-PORTS MINING,816,VTN,817,VTS,0,1,FALSE,FALSE,FALSE,FALSE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,icb,1,0,0,0,4,0,1,1,,CONVENTIONAL,3,3
246,1972,VIETNAM-PORTS MINING,816,VTN,840,PHI,0,1,FALSE,FALSE,,,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,icb,1,0,0,0,4,0,,1,,CONVENTIONAL,,
246,1972,VIETNAM-PORTS MINING,816,VTN,900,AUS,0,1,FALSE,FALSE,,,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,icb,1,0,1,0,4,0,,1,,CONVENTIONAL,,
246,1972,Vietnam Ports Mining,816,DRV,2,US,1,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,0,0,0,0,0,0,0,0,aiden,1,0,1,0,4,0,1,1,,CONVENTIONAL,4,3
246,1972,Vietnam Ports Mining,816,DRV,817,RVN,1,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,0,0,0,0,0,0,0,0,aiden,1,0,0,0,4,0,1,1,,CONVENTIONAL,4,3
246,1972,Vietnam Ports Mining,817,RVN,816,DRV,2,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,1,0,0,1,2,0,1,1,CONVENTIONAL,CONVENTIONAL,3,3
246,1972,Vietnam Ports Mining,2,USA,816,DRV,2,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,14,0,1,0,1,0,1,0,yan,1,1,0,1,2,0,1,1,,CONVENTIONAL,3,
247,1972,TANZANIA/UGANDA II,500,UGA,510,TAZ,0,1,TRUE,TRUE,FALSE,FALSE,WIN,NEUTRAL,0,0,0,0,0,0,0,0,icb,1,0,0,1,2,1,1,1,CONVENTIONAL,CONVENTIONAL,2,2
247,1972,Tanzania / Uganda II,510,TAZ,500,UGA,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,1,0,0,1,2,1,1,1,CONVENTIONAL,CONVENTIONAL,2,2
247,1972,Tanzania / Uganda II,510,TAZ,620,LIB,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,1,1,1,1,,,,
247,1972,Tanzania/Uganda II,510,TAZ,500,UGA,2,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,aiden,1,0,0,0,3,1,1,1,,CONVENTIONAL,3,4
247,1972,Tanzania/Uganda II,510,TAZ,620,LIB,2,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,aiden,0,0,0,0,1,1,1,1,,,0,0
248,1972,NORTH/SOUTH YEMEN I,678,NYE,680,SYE,0,1,FALSE,FALSE,FALSE,FALSE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,icb,1,0,0,1,1,0,1,1,,,5,5
